"Electricity generation statistics by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity generation statistics
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2022",24303.26
"Philippines (the)","Total renewable","Electricity Generation (GWh)","All","2023",25949.93
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2000",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2001",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2002",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2003",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2004",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2005",1.52
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2006",1.38
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2007",1.31
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2008",1.30
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2009",1.25
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2010",1.25
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2011",1.21
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2012",1.32
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2013",2.06
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2014",19.26
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2015",144.18
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2016",1105.56
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2017",1212.60
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2018",1266.89
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2019",1274.24
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",1410.26
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2021",1520.69
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2022",1893.58
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2023",2650.24
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2000",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2001",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2002",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2003",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2004",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2005",0.01
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2006",0.03
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2007",0.03
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2008",0.03
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2009",0.03
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2010",0.03
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2011",0.03
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2012",0.03
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2013",0.04
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2014",0.35
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2015",0.80
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2016",1.00
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2017",1.24
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2018",3.35
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2019",8.43
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2020",11.00
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2021",11.57
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2022",23.73
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2023",25.56
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2000",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2001",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2002",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2003",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2004",-
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2005",1.53
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2006",1.40
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2007",1.34
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2008",1.33
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2009",1.28
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2010",1.28
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2011",1.24
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2012",1.35
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2013",2.10
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2014",19.61
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2015",144.98
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2016",1106.55
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2017",1213.84
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2018",1270.25
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2019",1282.67
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2020",1421.27
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2021",1532.25
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2022",1917.31
"Philippines (the)","Solar photovoltaic","Electricity Generation (GWh)","All","2023",2675.79
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2000",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2001",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2002",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2003",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2004",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2005",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2006",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2007",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2008",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2009",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2010",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2011",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2012",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2013",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2014",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2015",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2016",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2017",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2018",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2019",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2021",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2022",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","On-grid","2023",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2000",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2001",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2002",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2003",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2004",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2005",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2006",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2007",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2008",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2009",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2010",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2011",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2012",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2013",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2014",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2015",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2016",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2017",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2018",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2019",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2020",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2021",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2022",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2023",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2000",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2001",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2002",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2003",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2004",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2005",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2006",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2007",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2008",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2009",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2010",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2011",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2012",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2013",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2014",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2015",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2016",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2017",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2018",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2019",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2020",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2021",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2022",-
"Philippines (the)","Solar thermal energy","Electricity Generation (GWh)","All","2023",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2000",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2001",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2002",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2003",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2004",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2005",17.47
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2006",53.24
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2007",57.84
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2008",61.39
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2009",64.43
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2010",61.72
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2011",88.20
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2012",75.34
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2013",65.66
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2014",152.05
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2015",748.41
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2016",975.22
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2017",1093.56
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2018",1152.92
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2019",1033.88
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",1018.78
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2021",1269.66
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2022",1029.87
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","On-grid","2023",1308.14
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2000",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2001",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2002",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2003",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2004",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2005",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2006",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2007",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2008",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2009",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2010",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2011",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2012",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2013",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2014",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2015",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2016",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2017",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2018",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2019",7.78
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2020",7.67
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2021",9.56
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2022",26.76
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2023",42.89
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2000",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2001",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2002",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2003",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2004",-
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2005",17.47
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2006",53.24
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2007",57.84
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2008",61.39
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2009",64.43
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2010",61.72
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2011",88.20
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2012",75.34
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2013",65.66
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2014",152.05
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2015",748.41
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2016",975.22
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2017",1093.56
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2018",1152.92
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2019",1041.66
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2020",1026.45
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2021",1279.22
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2022",1056.63
"Philippines (the)","Onshore wind energy","Electricity Generation (GWh)","All","2023",1351.03
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2000",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2001",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2002",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2003",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2004",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2005",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2006",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2007",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2008",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2009",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2010",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2011",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2012",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2013",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2014",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2015",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2016",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2017",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2018",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2019",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2021",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2022",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","On-grid","2023",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2000",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2001",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2002",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2003",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2004",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2005",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2006",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2007",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2008",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2009",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2010",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2011",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2012",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2013",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2014",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2015",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2016",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2017",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2018",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2019",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2020",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2021",-
"Philippines (the)","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2022",-
