province_id,province,mode,recommended_source,solar_kwh,wind_kwh,hydro_kwh,nearby_wind_count,nearby_hydro_count,wind_generation_scale,hydro_generation_scale,error
275,ORIENTAL MINDORO,generation,Solar,136.4481,126.5744,18.5095,0,1,1.0,1.012,
276,PALAWAN,generation,Wind,139.1854,190.08,0.297,0,0,1.0,1.0,
265,PAMPANGA,generation,Solar,149.3954,137.1768,0.31,0,0,1.0,1.0,
255,PANGASINAN,generation,Solar,154.5464,122.6508,1.573,0,0,1.0,1.0,
366,Pasay City,generation,,,,,,,,,404: No municipalities found for this province.
271,QUEZON,generation,Solar,137.924,118.7175,0.599,0,0,1.0,1.0,
368,Quezon City,generation,,,,,,,,,404: No municipalities found for this province.
260,QUIRINO,generation,Solar,131.8711,90.4861,26.123,0,0,1.0,1.0,
272,RIZAL,generation,Solar,139.713,126.9746,11.306,1,0,1.13,1.0,
277,ROMBLON,generation,Wind,146.6292,190.08,0.063,0,0,1.0,1.0,
298,SAMAR (WESTERN SAMAR),generation,Solar,135.6105,98.3953,2.613,0,0,1.0,1.0,
314,SARANGANI,generation,Solar,133.5319,107.9991,14.595,0,0,1.0,1.0,
293,SIQUIJOR,generation,Wind,146.9117,179.6927,2.857,0,0,1.0,1.0,
283,SORSOGON,generation,Solar,140.2572,126.0062,0.384,0,0,1.0,1.0,
315,SOUTH COTABATO,generation,Solar,128.9378,83.4842,9.25,0,0,1.0,1.0,
299,SOUTHERN LEYTE,generation,Wind,134.5523,151.6614,1.587,0,0,1.0,1.0,
377,Special Geographic Area,generation,,,,,,,,,404: No municipalities found for this province.
316,SULTAN KUDARAT,generation,Solar,129.0875,122.4691,12.617,0,0,1.0,1.0,
325,SULU,generation,Solar,141.3371,89.5367,0.557,0,0,1.0,1.0,
320,SURIGAO DEL NORTE,generation,Wind,134.3757,155.4348,2.1043,0,2,1.0,1.114,
321,SURIGAO DEL SUR,generation,Wind,137.3141,162.9043,21.531,0,0,1.0,1.0,
343,TAGUIG-PATEROS,generation,,,,,,,,,404: No municipalities found for this province.
266,TARLAC,generation,Solar,152.1678,98.3869,0.919,0,0,1.0,1.0,
326,TAWI-TAWI,generation,Wind,140.7204,153.3306,0.641,0,0,1.0,1.0,
267,ZAMBALES,generation,Solar,140.7267,120.9017,17.082,0,1,1.0,1.463,
300,ZAMBOANGA DEL NORTE,generation,Solar,131.8573,113.3608,11.564,0,0,1.0,1.0,
301,ZAMBOANGA DEL SUR,generation,Solar,137.8129,71.9586,7.046,0,0,1.0,1.0,
302,ZAMBOANGA SIBUGAY,generation,Solar,138.8954,83.0027,1.796,0,0,1.0,1.0,
