product_name,description,category,subcategory,price_value,price_raw,currency,source,seller,location,url,ratings,reviews,source_file,renewable_type,product_type,document_text,summary,doc_id
Online Low Water He Kaplan Turbine 600W-5KW Micro Hydro Electric Generator,,wind,turbine,799.0,US $799.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Alibaba-online-low-water-head-Kaplan_60189216250.html,5.0/5.0,,alibaba_products_hydropower.csv,wind,turbine,Online Low Water He Kaplan Turbine 600W-5KW Micro Hydro Electric Generator. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 799.0. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/Alibaba-online-low-water-head-Kaplan_60189216250.html.,Online Low Water He Kaplan Turbine 600W-5KW Micro Hydro Electric Generator.,prod_000011
Micro Plant Use Axial Flow Hydropower Electric Generator 600W 3000W Household Use Low He Water,,wind,generator,299.0,US $299.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Micro-Plant-Use-Axial-Flow-Hydropower_1600921494117.html,4.3/5.0,,alibaba_products_hydropower.csv,wind,generator,Micro Plant Use Axial Flow Hydropower Electric Generator 600W 3000W Household Use Low He Water. Category: wind/generator. Renewable: wind. Type: generator. Price: USD 299.0. Source: alibaba. Ratings: 4.3/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/Micro-Plant-Use-Axial-Flow-Hydropower_1600921494117.html.,Micro Plant Use Axial Flow Hydropower Electric Generator 600W 3000W Household Use Low He Water.,prod_000012
30KW Hydro Turbine Generator Micro Hydropower System for Off-Grid Electricity Supply,,wind,turbine,500.0,US $500.00,USD,alibaba,,,https://www.alibaba.com/product-detail/30KW-Hydro-Turbine-Generator-Micro-Hydropower_1601702729098.html,4.8/5.0 (10),,alibaba_products_hydropower.csv,wind,turbine,30KW Hydro Turbine Generator Micro Hydropower System for Off-Grid Electricity Supply. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 500.0. Source: alibaba. Ratings: 4.8/5.0 (10) ( reviews). URL: https://www.alibaba.com/product-detail/30KW-Hydro-Turbine-Generator-Micro-Hydropower_1601702729098.html.,30KW Hydro Turbine Generator Micro Hydropower System for Off-Grid Electricity Supply.,prod_000013
Micro Hydro Generator Water Turbine 1-15KW High Efficiency Hydro Turbine Generator Water Generator,,wind,turbine,332.0,US $329.00-$335.00,USD,alibaba,,,https://www.alibaba.com/product-detail/micro-hydro-generator-water-turbine-10_1601108331063.html,4.5/5.0 (15),,alibaba_products_hydropower.csv,wind,turbine,Micro Hydro Generator Water Turbine 1-15KW High Efficiency Hydro Turbine Generator Water Generator. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 332.0. Source: alibaba. Ratings: 4.5/5.0 (15) ( reviews). URL: https://www.alibaba.com/product-detail/micro-hydro-generator-water-turbine-10_1601108331063.html.,Micro Hydro Generator Water Turbine 1-15KW High Efficiency Hydro Turbine Generator Water Generator.,prod_000014
Mini Hydro Generator Water Energy Free 3kw 5kw 7kw 10kw 20kw 30kw Hydraulic Micro Turbines Hydropower Plant,,wind,turbine,2750.0,US $500.00-$5000.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Mini-hydro-generator-water-energy-free_1600552483471.html,5.0/5.0,,alibaba_products_hydropower.csv,wind,turbine,Mini Hydro Generator Water Energy Free 3kw 5kw 7kw 10kw 20kw 30kw Hydraulic Micro Turbines Hydropower Plant. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 2750.0. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/Mini-hydro-generator-water-energy-free_1600552483471.html.,Mini Hydro Generator Water Energy Free 3kw 5kw 7kw 10kw 20kw 30kw Hydraulic Micro Turbines Hydropower Plant.,prod_000015
Mini Hydro Generator Hydraulic Micro Turbines Hydropower Plant 800w Hydro Turbine Powered Generator,,wind,turbine,270.0,US $260.00-$280.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Mini-hydro-generator-hydraulic-micro-turbines_1600899215086.html,4.3/5.0 (107),,alibaba_products_hydropower.csv,wind,turbine,Mini Hydro Generator Hydraulic Micro Turbines Hydropower Plant 800w Hydro Turbine Powered Generator. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 270.0. Source: alibaba. Ratings: 4.3/5.0 (107) ( reviews). URL: https://www.alibaba.com/product-detail/Mini-hydro-generator-hydraulic-micro-turbines_1600899215086.html.,Mini Hydro Generator Hydraulic Micro Turbines Hydropower Plant 800w Hydro Turbine Powered Generator.,prod_000016
Hydro Turbine Generator Mini Water Kaplan Turbine 50 kw,,wind,turbine,4500.0,US $1000.00-$8000.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Hydro-generator-mini-water-kaplan-turbine_62344503067.html,,,alibaba_products_hydropower.csv,wind,turbine,Hydro Turbine Generator Mini Water Kaplan Turbine 50 kw. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 4500.0. Source: alibaba. Ratings:  ( reviews). URL: https://www.alibaba.com/product-detail/Hydro-generator-mini-water-kaplan-turbine_62344503067.html.,Hydro Turbine Generator Mini Water Kaplan Turbine 50 kw.,prod_000017
36W/50W Micro Hydro Turbine Generator with Built-in MPPT Solar Charge Controller and Mobile APP for Off-Grid Battery Charging,,solar,charge_controller,53.6,US $50.70-$56.50,USD,alibaba,,,https://www.alibaba.com/product-detail/36W-50W-DC-Brushless-Micro-Hydro_10000039518198.html,5.0/5.0,,alibaba_products_hydropower.csv,solar,battery,36W/50W Micro Hydro Turbine Generator with Built-in MPPT Solar Charge Controller and Mobile APP for Off-Grid Battery Charging. Category: solar/charge_controller. Renewable: solar. Type: battery. Price: USD 53.6. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/36W-50W-DC-Brushless-Micro-Hydro_10000039518198.html.,36W/50W Micro Hydro Turbine Generator with Built-in MPPT Solar Charge Controller and Mobile APP for Off-Grid Battery Charging.,prod_000018
Customized 500KW Micro Hydro Turbine Generator 10-100KW Stainless Steel Pelton ISO9001 Certified 92%-96% Efficiency Generator,,wind,turbine,57500.0,US $50000.00-$65000.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Micro-Hydro-Turbine-Generator-500kw-Stainless_1601425832695.html,4.3/5.0 (70),,alibaba_products_hydropower.csv,wind,turbine,Customized 500KW Micro Hydro Turbine Generator 10-100KW Stainless Steel Pelton ISO9001 Certified 92%-96% Efficiency Generator. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 57500.0. Source: alibaba. Ratings: 4.3/5.0 (70) ( reviews). URL: https://www.alibaba.com/product-detail/Micro-Hydro-Turbine-Generator-500kw-Stainless_1601425832695.html.,Customized 500KW Micro Hydro Turbine Generator 10-100KW Stainless Steel Pelton ISO9001 Certified 92%-96% Efficiency Generator.,prod_000019
Hydroelectric Free Energy Generator Micro Hydro Turbines for Sale,,wind,turbine,60000.0,US $60000.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Hydroelectric-free-energy-generator-micro-hydro_1600908159308.html,,,alibaba_products_hydropower.csv,wind,turbine,Hydroelectric Free Energy Generator Micro Hydro Turbines for Sale. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 60000.0. Source: alibaba. Ratings:  ( reviews). URL: https://www.alibaba.com/product-detail/Hydroelectric-free-energy-generator-micro-hydro_1600908159308.html.,Hydroelectric Free Energy Generator Micro Hydro Turbines for Sale.,prod_000020
Small Micro Hydropower Plants Hydro Turbine Water Generator for Sale,,wind,turbine,505.0,US $410.00-$600.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Small-Micro-Hydropower-Plants-Hydro-Turbine_1601665321844.html,4.0/5.0,,alibaba_products_hydropower.csv,wind,turbine,Small Micro Hydropower Plants Hydro Turbine Water Generator for Sale. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 505.0. Source: alibaba. Ratings: 4.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/Small-Micro-Hydropower-Plants-Hydro-Turbine_1601665321844.html.,Small Micro Hydropower Plants Hydro Turbine Water Generator for Sale.,prod_000021
5KW Micro Hydro Generator for Home Use 220V Rated Mini Pelton Turbine for Water Power Generation,,wind,turbine,2340.38,US $2340.38,USD,alibaba,,,https://www.alibaba.com/product-detail/Micro-Hydro-Generator-5KW-Pelton-Turbine_1601439060194.html,5.0/5.0,,alibaba_products_hydropower.csv,wind,turbine,5KW Micro Hydro Generator for Home Use 220V Rated Mini Pelton Turbine for Water Power Generation. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 2340.38. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/Micro-Hydro-Generator-5KW-Pelton-Turbine_1601439060194.html.,5KW Micro Hydro Generator for Home Use 220V Rated Mini Pelton Turbine for Water Power Generation.,prod_000022
DB-268 12V Micro Hydro Generator 1/2 Inch Portable Water Turbine Hydropower Energy Harvesting for Pipeline,,wind,turbine,3.59,US $3.00-$4.18,USD,alibaba,,,https://www.alibaba.com/product-detail/DB-268-12V-Micro-Hydro-Generator_1601761929210.html,4.5/5.0 (27),,alibaba_products_hydropower.csv,wind,turbine,DB-268 12V Micro Hydro Generator 1/2 Inch Portable Water Turbine Hydropower Energy Harvesting for Pipeline. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 3.59. Source: alibaba. Ratings: 4.5/5.0 (27) ( reviews). URL: https://www.alibaba.com/product-detail/DB-268-12V-Micro-Hydro-Generator_1601761929210.html.,DB-268 12V Micro Hydro Generator 1/2 Inch Portable Water Turbine Hydropower Energy Harvesting for Pipeline.,prod_000023
Low RPM 3 Phase PMG 5000 Watt 5KW Micro Hydro Turbine Generator with Cheap Price,,wind,turbine,850.0,US $500.00-$1200.00,USD,alibaba,,,https://www.alibaba.com/product-detail/low-RPM-3-phase-PMG-5000_60829857009.html,4.8/5.0 (22),,alibaba_products_hydropower.csv,wind,turbine,Low RPM 3 Phase PMG 5000 Watt 5KW Micro Hydro Turbine Generator with Cheap Price. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 850.0. Source: alibaba. Ratings: 4.8/5.0 (22) ( reviews). URL: https://www.alibaba.com/product-detail/low-RPM-3-phase-PMG-5000_60829857009.html.,Low RPM 3 Phase PMG 5000 Watt 5KW Micro Hydro Turbine Generator with Cheap Price.,prod_000024
Hot Selling 1kw 3kw 5kw Water Turbine Micro Water Turbine Hydro Power Electricity Generator,,wind,turbine,430.0,US $430.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Hot-selling-1kw-3kw-5kw-water_1601267916837.html,4.7/5.0 (20),,alibaba_products_hydropower.csv,wind,turbine,Hot Selling 1kw 3kw 5kw Water Turbine Micro Water Turbine Hydro Power Electricity Generator. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 430.0. Source: alibaba. Ratings: 4.7/5.0 (20) ( reviews). URL: https://www.alibaba.com/product-detail/Hot-selling-1kw-3kw-5kw-water_1601267916837.html.,Hot Selling 1kw 3kw 5kw Water Turbine Micro Water Turbine Hydro Power Electricity Generator.,prod_000025
New Design Hydro Electric Power Generator 7kw 10kw 20kw Micro Hydro Water Turbine Generator/,,wind,turbine,740.0,US $730.00-$750.00,USD,alibaba,,,https://www.alibaba.com/product-detail/New-Design-Hydro-Electric-Power-Generator_1601279538339.html,5.0/5.0,,alibaba_products_hydropower.csv,wind,turbine,New Design Hydro Electric Power Generator 7kw 10kw 20kw Micro Hydro Water Turbine Generator/. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 740.0. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/New-Design-Hydro-Electric-Power-Generator_1601279538339.html.,New Design Hydro Electric Power Generator 7kw 10kw 20kw Micro Hydro Water Turbine Generator/.,prod_000026
Complete Turbo NH/NT855 NT495 NT743 NTA855 Turbocharger T46 3026924 3018067 Micro Hydro,,hydro,,100.0,US $85.00-$115.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Complete-Turbo-NH-NT855-NT495-NT743_1600700103086.html,4.5/5.0 (23),,alibaba_products_hydropower.csv,hydro,,Complete Turbo NH/NT855 NT495 NT743 NTA855 Turbocharger T46 3026924 3018067 Micro Hydro. Category: hydro/. Renewable: hydro. Type: . Price: USD 100.0. Source: alibaba. Ratings: 4.5/5.0 (23) ( reviews). URL: https://www.alibaba.com/product-detail/Complete-Turbo-NH-NT855-NT495-NT743_1600700103086.html.,Complete Turbo NH/NT855 NT495 NT743 NTA855 Turbocharger T46 3026924 3018067 Micro Hydro.,prod_000027
Outdoor Emergency Portable Micro Hydro Turbine Generator Dual USB Output for Photo/LED 100W Generator DC12V for Battery,,solar,battery,160.0,US $160.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Outdoor-emergency-portable-micro-hydro-turbine_1600859063987.html,5.0/5.0,,alibaba_products_hydropower.csv,solar,battery,Outdoor Emergency Portable Micro Hydro Turbine Generator Dual USB Output for Photo/LED 100W Generator DC12V for Battery. Category: solar/battery. Renewable: solar. Type: battery. Price: USD 160.0. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/Outdoor-emergency-portable-micro-hydro-turbine_1600859063987.html.,Outdoor Emergency Portable Micro Hydro Turbine Generator Dual USB Output for Photo/LED 100W Generator DC12V for Battery.,prod_000028
DIY Micro Hydro Generator 80V/12V/5V10W DC water flow generator turbine generator hydroelectric Tap Water Flow Hydraulic,,wind,turbine,6.625,US $5.97-$7.28,USD,alibaba,,,https://www.alibaba.com/product-detail/DIY-Micro-Hydro-Generator-80V-12V_1600590146198.html,4.7/5.0 (42),,alibaba_products_hydropower.csv,wind,turbine,DIY Micro Hydro Generator 80V/12V/5V10W DC water flow generator turbine generator hydroelectric Tap Water Flow Hydraulic. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 6.625. Source: alibaba. Ratings: 4.7/5.0 (42) ( reviews). URL: https://www.alibaba.com/product-detail/DIY-Micro-Hydro-Generator-80V-12V_1600590146198.html.,DIY Micro Hydro Generator 80V/12V/5V10W DC water flow generator turbine generator hydroelectric Tap Water Flow Hydraulic.,prod_000029
DC12V Micro Hydro Turbine Generator Hydraulic Water Charging for LED Light Mini Battery,,solar,battery,4.305,US $4.21-$4.40,USD,alibaba,,,https://www.alibaba.com/product-detail/DC12V-Micro-Hydro-Turbine-Generator-Hydraulic_1601607910556.html,4.9/5.0 (183),,alibaba_products_hydropower.csv,solar,battery,DC12V Micro Hydro Turbine Generator Hydraulic Water Charging for LED Light Mini Battery. Category: solar/battery. Renewable: solar. Type: battery. Price: USD 4.305. Source: alibaba. Ratings: 4.9/5.0 (183) ( reviews). URL: https://www.alibaba.com/product-detail/DC12V-Micro-Hydro-Turbine-Generator-Hydraulic_1601607910556.html.,DC12V Micro Hydro Turbine Generator Hydraulic Water Charging for LED Light Mini Battery.,prod_000030
Francis Equipment 5MW Hydro Power Turbine Generator Micro Power Plant High-Efficiency Hydro Generator ISO CE TUV Certified,,wind,turbine,23333.0,US $23333.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Francis-Equipment-5MW-Hydro-Power-Turbine_1601601154364.html,,,alibaba_products_hydropower.csv,wind,turbine,Francis Equipment 5MW Hydro Power Turbine Generator Micro Power Plant High-Efficiency Hydro Generator ISO CE TUV Certified. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 23333.0. Source: alibaba. Ratings:  ( reviews). URL: https://www.alibaba.com/product-detail/Francis-Equipment-5MW-Hydro-Power-Turbine_1601601154364.html.,Francis Equipment 5MW Hydro Power Turbine Generator Micro Power Plant High-Efficiency Hydro Generator ISO CE TUV Certified.,prod_000031
3kw 5kw 8kw 10kw 15kw Factory Price Small Water Turbine Micro Water Turbine Generator,,wind,turbine,1380.0,US $1380.00,USD,alibaba,,,https://www.alibaba.com/product-detail/3kw-5kw-8kw-10kw-15kw-Factory_1601651474053.html,,,alibaba_products_hydropower.csv,wind,turbine,3kw 5kw 8kw 10kw 15kw Factory Price Small Water Turbine Micro Water Turbine Generator. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 1380.0. Source: alibaba. Ratings:  ( reviews). URL: https://www.alibaba.com/product-detail/3kw-5kw-8kw-10kw-15kw-Factory_1601651474053.html.,3kw 5kw 8kw 10kw 15kw Factory Price Small Water Turbine Micro Water Turbine Generator.,prod_000032
10KW 20 KW 30KW Small River Hydro Power Turbine Kit for Home,,wind,turbine,4500.0,US $1000.00-$8000.00,USD,alibaba,,,https://www.alibaba.com/product-detail/10KW-20-KW-30KW-Small-River_1600980510604.html,5.0/5.0,,alibaba_products_hydropower.csv,wind,turbine,10KW 20 KW 30KW Small River Hydro Power Turbine Kit for Home. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 4500.0. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/10KW-20-KW-30KW-Small-River_1600980510604.html.,10KW 20 KW 30KW Small River Hydro Power Turbine Kit for Home.,prod_000033
5V/12V/80V Micro-hydro Direct Current Water Generator Flow Pump Turbines Hydroelectric Power Energy Generator,,wind,turbine,4.34,US $3.80-$4.88,USD,alibaba,,,https://www.alibaba.com/product-detail/5V-12V-80V-Micro-hydro-Direct_1601433168922.html,4.9/5.0 (22),,alibaba_products_hydropower.csv,wind,turbine,5V/12V/80V Micro-hydro Direct Current Water Generator Flow Pump Turbines Hydroelectric Power Energy Generator. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 4.34. Source: alibaba. Ratings: 4.9/5.0 (22) ( reviews). URL: https://www.alibaba.com/product-detail/5V-12V-80V-Micro-hydro-Direct_1601433168922.html.,5V/12V/80V Micro-hydro Direct Current Water Generator Flow Pump Turbines Hydroelectric Power Energy Generator.,prod_000034
3kw Micro Hydropower Plants Hydro Turbine Water Generator,,wind,turbine,600.0,US $550.00-$650.00,USD,alibaba,,,https://www.alibaba.com/product-detail/3kw-Micro-Hydropower-Plants-Hydro-Turbine_1600467823055.html,5.0/5.0,,alibaba_products_hydropower.csv,wind,turbine,3kw Micro Hydropower Plants Hydro Turbine Water Generator. Category: wind/turbine. Renewable: wind. Type: turbine. Price: USD 600.0. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/3kw-Micro-Hydropower-Plants-Hydro-Turbine_1600467823055.html.,3kw Micro Hydropower Plants Hydro Turbine Water Generator.,prod_000035
Hydro Generator 600W-5KW 220V Water Micro Hydro Generator China Factory Micro Hydro Generator,,wind,generator,297.0,US $297.00,USD,alibaba,,,https://www.alibaba.com/product-detail/Hydro-Generator-600W-5KW-220V-Water_1601420187137.html,5.0/5.0,,alibaba_products_hydropower.csv,wind,generator,Hydro Generator 600W-5KW 220V Water Micro Hydro Generator China Factory Micro Hydro Generator. Category: wind/generator. Renewable: wind. Type: generator. Price: USD 297.0. Source: alibaba. Ratings: 5.0/5.0 ( reviews). URL: https://www.alibaba.com/product-detail/Hydro-Generator-600W-5KW-220V-Water_1601420187137.html.,Hydro Generator 600W-5KW 220V Water Micro Hydro Generator China Factory Micro Hydro Generator.,prod_000036
