barangay_id,municipality_id,name
108683,6222,Vinapor
108684,6466,Angeles
108685,6466,Bataan
108686,6466,Comota
108687,6466,Halapitan
108688,6466,Kasapa II
108689,6466,Langasian
108690,6466,Lydia
108691,6466,"Osmeña, Sr."
108692,6466,Panagangan
108693,6466,Poblacion
108694,6466,Sabang Adgawan
108695,6466,Sagunto
108696,6466,San Patricio
108697,6466,Valentina
108698,6466,Villa Paz
108699,6284,Bayugan 3
108700,6284,Cabantao
108701,6284,Cabawan
108702,6284,Libuac
108703,6284,Maligaya
108704,6284,Marfil
108705,6284,Novele
108706,6284,Poblacion
108707,6284,Santa Cruz
108708,6284,Tagbayagan
108709,6284,Wasi-an
108710,5388,Alegria
108711,5388,Barangay 1
108712,5388,Barangay 2
108713,5388,Barangay 3
108714,5388,Barangay 4
108715,5388,Barangay 5
108716,5388,Bayugan 2
108717,5388,Bitan-agan
108718,5388,Borbon
108719,5388,Buenasuerte
108720,5388,Caimpugan
108721,5388,Das-agan
108722,5388,Ebro
108723,5388,Hubang
108724,5388,Karaus
108725,5388,Ladgadan
108726,5388,Lapinigan
108727,5388,Lucac
108728,5388,Mate
108729,5388,New Visayas
108730,5388,Ormaca
108731,5388,Pasta
108732,5388,Pisa-an
108733,5388,Rizal
108734,5388,San Isidro
108735,5388,Santa Ana
108736,5388,Tagapua
108737,5290,Anislagan
108738,5290,Balit
108739,5290,Baylo
108740,5290,Binicalan
108741,5290,Cecilia
108742,5290,Coalicion
108743,5290,Culi
108744,5290,Dimasalang
108745,5290,Don Alejandro
108746,5290,Don Pedro
108747,5290,Doña Flavia
108748,5290,Doña Maxima
108749,5290,Mahagsay
108750,5290,Mahapag
108751,5290,Mahayahay
108752,5290,Muritula
108753,5290,Nuevo Trabajo
108754,5290,Poblacion
108755,5290,Policarpo
108756,5290,San Isidro
108757,5290,San Pedro
108758,5290,Santa Ines
108759,5290,Santa Rita
108760,5290,Santiago
108761,5290,Wegguam
108762,5597,Aranas
108763,5597,Arcangel
108764,5597,Calizo
108765,5597,Cortes
108766,5597,Feliciano
108767,5597,Fulgencio
108768,5597,Guanko
108769,5597,Morales
108770,5597,Oquendo
108771,5597,Poblacion
108772,6242,Agbanawan
108773,6242,Bacan
108774,6242,Badiangan
108775,6242,Cerrudo
108776,6242,Cupang
108777,6242,Daguitan
108778,6242,Daja Norte
108779,6242,Daja Sur
108780,6242,Dingle
108781,6242,Jumarap
108782,6242,Lapnag
108783,6242,Libas
108784,6242,Linabuan Sur
108785,6242,Mambog
108786,6242,Mangan
108787,6242,Muguing
108788,6242,Pagsanghan
108789,6242,Palale
108790,6242,Poblacion
108791,6242,Polo
108792,6242,Polocate
108793,6242,San Isidro
108794,6242,Sibalew
108795,6242,Sigcay
108796,6242,Taba-ao
108797,6242,Tabayon
108798,6242,Tinapuay
108799,6242,Torralba
108800,6242,Ugsod
108801,6242,Venturanza
108802,5485,Ilawod Area Poblacion
108803,5485,Market Area Poblacion
108804,5487,Aurora Poblacion
108805,5487,Calzada Poblacion
108806,5487,Mabini Poblacion
108807,5487,Magsaysay Poblacion
108808,5487,Mercado Poblacion
108809,5487,Plaza Poblacion
108810,5487,Quitinday Poblacion
108811,5487,Rizal Poblacion
108812,5487,White Deer Poblacion
108813,500506000,Barangay 1-Em's Barrio
108814,500506000,Barangay 10-Cabugao
108815,500506000,Barangay 11-Maoyod Poblacion
108816,500506000,Barangay 12-Tula-tula
108817,500506000,Barangay 13-Ilawod West Poblacion
108818,500506000,Barangay 14-Ilawod Poblacion
108819,500506000,Barangay 15-Ilawod East Poblacion
108820,500506000,Barangay 16-Kawit-East Washington Drive
108821,500506000,"Barangay 17-Rizal Street, Ilawod"
108822,500506000,Barangay 18-Cabagñan West
108823,500506000,Barangay 19-Cabagñan
108824,500506000,Barangay 2-Em's Barrio South
108825,500506000,Barangay 20-Cabagñan East
108826,500506000,Barangay 21-Binanuahan West
108827,500506000,Barangay 22-Binanuahan East
108828,500506000,Barangay 23-Imperial Court Subd.
108829,500506000,Barangay 24-Rizal Street
108830,500506000,Barangay 25-Lapu-lapu
108831,500506000,Barangay 26-Dinagaan
108832,500506000,Barangay 27-Victory Village South
108833,500506000,Barangay 28-Victory Village North
108834,500506000,Barangay 29-Sabang
108835,500506000,Barangay 3-Em's Barrio East
108836,500506000,Barangay 30-Pigcale
108837,500506000,Barangay 31-Centro-Baybay
108838,500506000,Barangay 32-San Roque
108839,500506000,Barangay 33-PNR-Peñaranda St.-Iraya
108840,500506000,Barangay 34-Oro Site-Magallanes St.
108841,500506000,Barangay 35-Tinago
108842,500506000,Barangay 36-Kapantawan
108843,500506000,Barangay 37-Bitano
108844,500506000,Barangay 38-Gogon
108845,500506000,Barangay 39-Bonot
108846,500506000,Barangay 4-Sagpon Poblacion
108847,500506000,Barangay 40-Cruzada
108848,500506000,Barangay 41-Bogtong
108849,500506000,Barangay 42-Rawis
108850,500506000,Barangay 43-Tamaoyan
108851,500506000,Barangay 44-Pawa
108852,500506000,Barangay 45-Dita
108853,500506000,Barangay 46-San Joaquin
108854,500506000,Barangay 47-Arimbay
108855,500506000,Barangay 48-Bagong Abre
108856,500506000,Barangay 49-Bigaa
108857,500506000,Barangay 5-Sagmin Poblacion
108858,500506000,Barangay 50-Padang
108859,500506000,Barangay 51-Buyuan
108860,500506000,Barangay 52-Matanag
108861,500506000,Barangay 53-Bonga
108862,500506000,Barangay 54-Mabinit
108863,500506000,Barangay 55-Estanza
108864,500506000,Barangay 56-Taysan
108865,500506000,Barangay 57-Dap-dap
108866,500506000,Barangay 58-Buragwis
108867,500506000,Barangay 59-Puro
108868,500506000,Barangay 6-Bañadero Poblacion
108869,500506000,Barangay 60-Lamba
108870,500506000,Barangay 61-Maslog
108871,500506000,Barangay 62-Homapon
108872,500506000,Barangay 63-Mariawa
108873,500506000,Barangay 64-Bagacay
108874,500506000,Barangay 65-Imalnod
108875,500506000,Barangay 66-Banquerohan
108876,500506000,Barangay 67-Bariis
108877,500506000,Barangay 68-San Francisco
108878,500506000,Barangay 69-Buenavista
108879,500506000,Barangay 7-Baño
108880,500506000,Barangay 70-Cagbacong
108881,500506000,Barangay 8-Bagumbayan
108882,500506000,Barangay 9-Pinaric
108883,5494,Agol
108884,5494,Alabangpuro
108885,5494,Banawan
108886,5494,Barangay I
108887,5494,Barangay II
108888,5494,Barangay III
108889,5494,Barangay IV
108890,5494,Barangay V
108891,5494,Basicao Coastal
108892,5494,Basicao Interior
108893,5494,Binodegahan
108894,5494,Buenavista
108895,5494,Buyo
108896,5494,Caratagan
108897,5494,Cuyaoyao
108898,5494,Flores
108899,5494,La Medalla
108900,5494,Lawinon
108901,5494,Macasitas
108902,5494,Malapay
108903,5494,Malidong
108904,5494,Mamlad
108905,5494,Marigondon
108906,5494,Matanglad
108907,5494,Nablangbulod
108908,5494,Oringon
108909,5494,Palapas
108910,5494,Panganiran
108911,5494,Rawis
108912,5494,Salvacion
108913,5494,Santo Cristo
108914,5494,Sukip
108915,5494,Tibabo
108916,5495,Agos
108917,5495,Alnay
108918,5495,Alomon
108919,5495,Amoguis
108920,5495,Anopol
108921,5495,Apad
108922,5495,Balaba
108923,5495,Balangibang
108924,5495,Balinad
108925,5495,Basud
108926,5495,Binagbangan
108927,5495,Buyo
108928,5495,Centro Occidental
108929,5495,Centro Oriental
108930,5495,Cepres
108931,5495,Cotmon
108932,5495,Cotnogan
108933,5495,Danao
108934,5495,Gabon
108935,5495,Gamot
108936,5495,Itaran
108937,5495,Kinale
108938,5495,Kinuartilan
108939,5495,La Medalla
108940,5495,La Purisima
108941,5495,Lanigay
108942,5495,Lidong
108943,5495,Lourdes
108944,5495,Magpanambo
108945,5495,Magurang
108946,5495,Matacon
108947,5495,Maynaga
108948,5495,Maysua
108949,5495,Mendez
108950,5495,Napo
108951,5495,Pinagdapugan
108952,5495,Ponso
108953,5495,Salvacion
108954,5495,San Roque
108955,5495,Santa Cruz
108956,5495,Santa Teresita
108957,5495,Santicon
108958,5495,Sugcad
108959,5495,Ubaliw
108960,5496,Bagaobawan
108961,5496,Batan
108962,5496,Bilbao
108963,5496,Binosawan
108964,5496,Bogtong
108965,5496,Buenavista
108966,5496,Buhatan
108967,5496,Calanaga
108968,5496,Caracaran
108969,5496,Carogcog
108970,5496,Dap-dap
108971,5496,Gaba
108972,5496,Galicia
108973,5496,Guadalupe
108974,5496,Hamorawon
108975,5496,Lagundi
108976,5496,Liguan
108977,5496,Linao
108978,5496,Malobago
108979,5496,Mananao
108980,5496,Mancao
108981,5496,Manila
108982,5496,Masaga
108983,5496,Morocborocan
108984,5496,Nagcalsot
108985,5496,Pagcolbon
108986,5496,Poblacion
108987,5496,Sagrada
108988,5496,San Ramon
108989,5496,Santa Barbara
108990,5496,Tinocawan
108991,5496,Tinopan
108992,5496,Viga
108993,5496,Villahermosa
108994,4969,Alimsog
108995,4969,Bagong San Roque
108996,4969,Buhatan
108997,4969,Calayucay
108998,4969,Del Rosario Poblacion
108999,4969,Fidel Surtida
109000,4969,Lidong
109001,4969,Market Site Poblacion
109002,4969,Nagsiya Poblacion
109003,4969,Pandayan Poblacion
109004,4969,Salvacion
109005,4969,San Andres
109006,4969,San Fernando
109007,4969,San Francisco Poblacion
109008,4969,San Isidro
109009,4969,San Juan Poblacion
109010,4969,San Pedro Poblacion
109011,4969,San Rafael Poblacion
109012,4969,San Roque
109013,4969,San Vicente Poblacion
109014,4969,Santa Misericordia
109015,4969,Santo Domingo Poblacion
109016,4969,Santo Niño
109017,5498,Agnas
109018,5498,Bacolod
109019,5498,Bangkilingan
109020,5498,Bantayan
109021,5498,Baranghawon
109022,5498,Basagan
109023,5498,Basud
109024,5498,Bogñabong
109025,5498,Bombon
109026,5498,Bonot
109027,5498,Buang
109028,5498,Buhian
109029,5498,Cabagñan
109030,5498,Cobo
109031,5498,Comon
109032,5498,Cormidal
109033,5498,Divino Rostro
109034,5498,Fatima
109035,5498,Guinobat
109036,5498,Hacienda
109037,5498,Magapo
109038,5498,Mariroc
109039,5498,Matagbac
109040,5498,Oras
109041,5498,Oson
109042,5498,Panal
109043,5498,Pawa
109044,5498,Pinagbobong
109045,5498,Quinale Cabasan
109046,5498,Quinastillojan
109047,5498,Rawis
109048,5498,Sagurong
109049,5498,Salvacion
109050,5498,San Antonio
109051,5498,San Carlos
109052,5498,San Isidro
109053,5498,San Juan
109054,5498,San Lorenzo
109055,5498,San Ramon
109056,5498,San Roque
109057,5498,San Vicente
109058,5498,Santo Cristo
109059,5498,Sua-Igot
109060,5498,Tabiguian
109061,5498,Tagas
109062,5498,Tayhi
109063,5498,Visita
109064,5499,Bagumbayan
109065,5499,Bariis
109066,5499,Baybay
109067,5499,Belen
109068,5499,Biyong
109069,5499,Bolo
109070,5499,Cale
109071,5499,Cararayan
109072,5499,Coro-coro
109073,5499,Dap-dap
109074,5499,Gajo
109075,5499,Joroan
109076,5499,Libjo
109077,5499,Libtong
109078,5499,Matalibong
109079,5499,Maynonong
109080,5499,Mayong
109081,5499,Misibis
109082,5499,Naga
109083,5499,Nagas
109084,5499,Oyama
109085,5499,Putsan
109086,5499,San Bernardo
109087,5499,Sogod
109088,5499,Tigbi
109089,6156,Barusbus
109090,6156,Bulanao
109091,6156,Centro Este
109092,6156,Centro Weste
109093,6156,Codiong
109094,6156,Cubay
109095,6156,Igcagay
109096,6156,Inyawan
109097,6156,Lindero
109098,6156,Maramig
109099,6156,Pajo
109100,6156,Panangkilon
109101,6156,Paz
109102,6156,Pucio
109103,6156,San Roque
109104,6156,Taboc
109105,6156,Tinigbas
109106,6156,Tinindugan
109107,6156,Union
109108,5622,Aracay
109109,5622,Badiangan
109110,5622,Bagumbayan
109111,5622,Baybay
109112,5622,Botbot
109113,5622,Buang
109114,5622,Cabugao
109115,5622,Candari
109116,5622,Carmen
109117,5622,Centro Norte
109118,5622,Centro Sur
109119,5622,Dionela
109120,5622,Dumrog
109121,5622,Duyong
109122,5622,Fragante
109123,5622,Guia
109124,5622,Idiacacan
109125,5622,Jinalinan
109126,5622,Luhod-Bayang
109127,5622,Maadios
109128,5622,Mag-aba
109129,5622,Napuid
109130,5622,Nauring
109131,5622,Patria
109132,5622,Perfecta
109133,5622,San Andres
109134,5622,San Joaquin
109135,5622,Santa Ana
109136,5622,Santa Cruz
109137,5622,Santa Fe
109138,5622,Santo Rosario
109139,5622,Talisay
109140,5622,Tingib
109141,5622,Zaldivar
109142,1907003001,Atabay
109143,1907003001,Badiang
109144,1907003001,Barangay 1
109145,1907003001,Barangay 2
109146,1907003001,Barangay 3
109147,1907003001,Barangay 4
109148,1907003001,Barangay 5
109149,1907003001,Barangay 6
109150,1907003001,Barangay 7
109151,1907003001,Barangay 8
109152,1907003001,Bariri
109153,1907003001,Bugarot
109154,1907003001,Cansadan
109155,1907003001,Durog
109156,1907003001,Funda-Dalipe
109157,1907003001,Igbonglo
109158,1907003001,Inabasan
109159,1907003001,Madrangca
109160,1907003001,Magcalon
109161,1907003001,Malaiba
109162,1907003001,Maybato Norte
109163,1907003001,Maybato Sur
109164,1907003001,Mojon
109165,1907003001,Pantao
109166,1907003001,San Angel
109167,1907003001,San Fernando
109168,1907003001,San Pedro
109169,1907003001,Supa
109170,6490,Bacsay
109171,6490,Cagandungan
109172,6490,Calabigan
109173,6490,Cangisitan
109174,6490,Capagaypayan
109175,6490,Dagupan
109176,6490,Lappa
109177,6490,Luyon
109178,6490,Marag
109179,6490,Poblacion
109180,6490,Quirino
109181,6490,Salvacion
109182,6490,San Francisco
109183,6490,San Gregorio
109184,6490,San Isidro Norte
109185,6490,San Isidro Sur
109186,6490,San Sebastian
109187,6490,Santa Lina
109188,6490,Shalom
109189,6490,Tumog
109190,6490,Turod
109191,6490,Zumigui
109192,6491,Lt. Balag
109193,5584,Barangay 1
109194,5584,Barangay 2
109195,5584,Barangay 3
109196,5584,Barangay 4
109197,5584,Barangay 5
109198,5584,Barangay 6
109199,5584,Barangay 7
109200,5584,Barangay 8
109201,5584,Bianuan
109202,5584,Calabgan
109203,5584,Calangcuasan
109204,5584,Calantas
109205,5584,Cozo
109206,5584,Culat
109207,5584,Dibacong
109208,5584,Dibet
109209,5584,Ditinagyan
109210,5584,Esperanza
109211,5584,Esteves
109212,5584,Lual
109213,5584,Marikit
109214,5584,San Ildefonso
109215,5584,Tabas
109216,5584,Tinib
109217,5290,Bacong
109218,5290,Barangay I
109219,5290,Barangay II
109220,5290,Barangay III
109221,5290,Barangay IV
109222,5290,Dibalo
109223,5290,Dibayabay
109224,5290,Dibut
109225,5290,Dikapinisan
109226,5290,Dimanayat
109227,5290,Diteki
109228,5290,Ditumabo
109229,5290,L. Pimentel
109230,5290,Nonong Senior
109231,5290,Real
109232,5290,San Isidro
109233,5290,San Jose
109234,5290,Zarah
109235,5710,Aguada
109236,5710,Balatanay
109237,5710,Baluno
109238,5710,Begang
109239,5710,Binuangan
109240,5710,Busay
109241,5710,Cabunbata
109242,5710,Calvario
109243,5710,Carbon
109244,5710,Diki
109245,5710,Doña Ramona T. Alano
109246,5710,Isabela Eastside
109247,5710,Isabela Proper
109248,5710,Kapatagan Grande
109249,5710,Kapayawan
109250,5710,Kaumpurnah Zone I
109251,5710,Kaumpurnah Zone II
109252,5710,Kaumpurnah Zone III
109253,5710,Kumalarang
109254,5710,La Piedad
109255,5710,Lampinigan
109256,5710,Lanote
109257,5710,Lukbuton
109258,5710,Lumbang
109259,5710,Makiri
109260,5710,Maligue
109261,5710,Marang-marang
109262,5710,Marketsite
109263,5710,Masula
109264,5710,Menzi
109265,5710,Panigayan
109266,5710,Panunsulan
109267,5710,Port Area
109268,5710,San Rafael
109269,5710,Santa Barbara
109270,5710,Santa Cruz
109271,5710,Seaside
109272,5710,Small Kapatagan
109273,5710,Sumagdang
109274,5710,Sunrise Village
109275,5710,Tabiawan
109276,5710,Tabuk
109277,5710,Tampalan
109278,5710,Timpul
109279,6346,Port Holland Zone I Poblacion
109280,6346,Port Holland Zone II Poblacion
109281,6346,Port Holland Zone III Poblacion
109282,5149,Mambog-Mandama
109283,5150,Kitang 2 & Luz
109284,5150,Saint Francis II
109285,5763,Ala-uli
109286,5763,Bagumbayan
109287,5763,Balut I
109288,5763,Balut II
109289,5763,Bantan Munti
109290,5763,Burgos
109291,5763,Del Rosario
109292,5763,Diwa
109293,5763,Landing
109294,5763,Liyang
109295,5763,Nagwaling
109296,5763,Panilao
109297,5763,Pantingan
109298,5763,Poblacion
109299,5763,Rizal
109300,5763,Santa Rosa
109301,5763,Wakas North
109302,5763,Wakas South
109303,5763,Wawa
109304,5047,Hañib
109305,5597,Alangilan
109306,5597,Calawit
109307,5597,Looc
109308,5597,Magapi
109309,5597,Makina
109310,5597,Malabanan
109311,5597,Paligawan
109312,5597,Palsara
109313,5597,Poblacion
109314,5597,Sala
109315,5597,Sampalocan
109316,5597,San Sebastian
109317,5597,Solis
109318,5678,Anak-Dagat
109319,5678,Arumahan
109320,5678,Ayao-iyao
109321,5678,Bagong Pook
109322,5678,Bagong Sikat
109323,5678,Balanga
109324,5678,Bukal
109325,5678,Cahilan I
109326,5678,Cahilan II
109327,5678,Dayapan
109328,5678,District I
109329,5678,District II
109330,5678,District III
109331,5678,District IV
109332,5678,Dita
109333,5678,Gulod
109334,5678,Lucky
109335,5678,Maguihan
109336,5678,Mahabang Dahilig
109337,5678,Mahayahay
109338,5678,Maigsing Dahilig
109339,5678,Maligaya
109340,5678,Malinis
109341,5678,Masalisi
109342,5678,Mataas na Bayan
109343,5678,Matingain I
109344,5678,Matingain II
109345,5678,Mayasang
109346,5678,Niugan
109347,5678,Nonong Casto
109348,5678,Palanas
109349,5678,Payapa Ibaba
109350,5678,Payapa Ilaya
109351,5678,Rizal
109352,5678,Sambal Ibaba
109353,5678,Sambal Ilaya
109354,5678,San Isidro Ibaba
109355,5678,San Isidro Itaas
109356,5678,Sangalang
109357,5678,Sinisian East
109358,5678,Sinisian West
109359,5678,Talaga
109360,5678,Tubigan
109361,5678,Tubuan
109362,5678,Wawa Ibaba
109363,5678,Wawa Ilaya
109364,6170,Anilao East
109365,6170,Anilao Proper
109366,6170,Bagalangit
109367,6170,Bulacan
109368,6170,Calamias
109369,6170,Estrella
109370,6170,Gasang
109371,6170,Laurel
109372,6170,Ligaya
109373,6170,Mainaga
109374,6170,Mainit
109375,6170,Majuben
109376,6170,Malimatoc I
109377,6170,Malimatoc II
109378,6170,Nag-iba
109379,6170,Pilahan
109380,6170,Poblacion
109381,6170,Pulang Lupa
109382,6170,Pulong Anahao
109383,6170,Pulong Balibaguhan
109384,6170,Pulong Niogan
109385,6170,Saguing
109386,6170,Sampaguita
109387,6170,San Francisco
109388,6170,San Jose
109389,6170,San Juan
109390,6170,San Teodoro
109391,6170,Santa Ana
109392,6170,Santa Mesa
109393,6170,Santo Niño
109394,6170,Santo Tomas
109395,6170,Solo
109396,6170,Talaga East
109397,6170,Talaga Proper
109398,401018000,Barangay II-A
109399,401018000,Bayorbor
109400,401018000,Bubuyan
109401,401018000,Calingatan
109402,401018000,District I
109403,401018000,District II
109404,401018000,District III
109405,401018000,District IV
109406,401018000,Kinalaglagan
109407,401018000,Loob
109408,401018000,Lumang Lipa
109409,401018000,Manggahan
109410,401018000,Nangkaan
109411,401018000,San Sebastian
109412,401018000,Santol
109413,401018000,Upa
109414,6284,Alupay
109415,6284,Antipolo
109416,6284,Bagong Pook
109417,6284,Balibago
109418,6284,Barangay A
109419,6284,Barangay B
109420,6284,Barangay C
109421,6284,Barangay D
109422,6284,Barangay E
109423,6284,Bayawang
109424,6284,Baybayin
109425,6284,Bulihan
109426,6284,Cahigam
109427,6284,Calantas
109428,6284,Colongan
109429,6284,Itlugan
109430,6284,Leviste
109431,6284,Lumbangan
109432,6284,Maalas-as
109433,6284,Mabato
109434,6284,Mabunga
109435,6284,Macalamcam A
109436,6284,Macalamcam B
109437,6284,Malaya
109438,6284,Maligaya
109439,6284,Marilag
109440,6284,Masaya
109441,6284,Matamis
109442,6284,Mavalor
109443,6284,Mayuro
109444,6284,Namuco
109445,6284,Namunga
109446,6284,Nasi
109447,6284,Natu
109448,6284,Palakpak
109449,6284,Pinagsibaan
109450,6284,Putingkahoy
109451,6284,Quilib
109452,6284,Salao
109453,6284,San Carlos
109454,6284,San Ignacio
109455,6284,San Isidro
109456,6284,San Jose
109457,6284,San Roque
109458,6284,Santa Cruz
109459,6284,Timbugan
109460,6284,Tiquiwan
109461,6284,Tulos
109462,5846,Aguila
109463,5846,Anus
109464,5846,Aya
109465,5846,Bagong Pook
109466,5846,Balagtasin
109467,5846,Balagtasin I
109468,5846,Banaybanay I
109469,5846,Banaybanay II
109470,5846,Bigain I
109471,5846,Bigain II
109472,5846,Bigain South
109473,5846,Calansayan
109474,5846,Dagatan
109475,5846,Don Luis
109476,5846,Galamay-Amo
109477,5846,Lalayat
109478,5846,Lapolapo I
109479,5846,Lapolapo II
109480,5846,Lepute
109481,5846,Lumil
109482,5846,Mojon-Tampoy
109483,5846,Natunuan
109484,5846,Palanca
109485,5846,Pinagtung-ulan
109486,5846,Poblacion Barangay I
109487,5846,Poblacion Barangay II
109488,5846,Poblacion Barangay III
109489,5846,Poblacion Barangay IV
109490,5846,Sabang
109491,5846,Salaban
109492,5846,Santo Cristo
109493,5846,Taysan
109494,5846,Tugtug
109495,5999,Abung
109496,5999,Balagbag
109497,5999,Barualte
109498,5999,Bataan
109499,5999,Buhay na Sapa
109500,5999,Bulsa
109501,5999,Calicanto
109502,5999,Calitcalit
109503,5999,Calubcub I
109504,5999,Calubcub II
109505,5999,Catmon
109506,5999,Coloconto
109507,5999,Escribano
109508,5999,Hugom
109509,5999,Imelda
109510,5999,Janaojanao
109511,5999,Laiya-Aplaya
109512,5999,Laiya-Ibabao
109513,5999,Libato
109514,5999,Lipahan
109515,5999,Mabalanoy
109516,5999,Maraykit
109517,5999,Muzon
109518,5999,Nagsaulay
109519,5999,Palahanan I
109520,5999,Palahanan II
109521,5999,Palingowak
109522,5999,Pinagbayanan
109523,5999,Poblacion
109524,5999,Poctol
109525,5999,Pulangbato
109526,5999,Putingbuhangin
109527,5999,Quipot
109528,5999,Sampiro
109529,5999,Sapangan
109530,5999,Sico I
109531,5999,Sico II
109532,5999,Subukin
109533,5999,Talahiban I
109534,5999,Talahiban II
109535,5999,Ticalan
109536,5999,Tipaz
109537,5290,Abiacao
109538,5290,Bagong Tubig
109539,5290,Balagtasin
109540,5290,Balite
109541,5290,Banoyo
109542,5290,Boboy
109543,5290,Bonliw
109544,5290,Calumpang East
109545,5290,Calumpang West
109546,5290,Dulangan
109547,5290,Durungao
109548,5290,Locloc
109549,5290,Luya
109550,5290,Mahabang Parang
109551,5290,Manggahan
109552,5290,Muzon
109553,5290,Poblacion
109554,5290,San Antonio
109555,5290,San Isidro
109556,5290,San Jose
109557,5290,San Martin
109558,5290,Santa Monica
109559,5290,Taliba
109560,5290,Talon
109561,5290,Tejero
109562,5290,Tungal
109563,5293,Antipolo
109564,5293,Bihis
109565,5293,Burol
109566,5293,Calayaan
109567,5293,Calumala
109568,5293,Cuta East
109569,5293,Cutang Cawayan
109570,5293,Irukan
109571,5293,Pacifico
109572,5293,Poblacion I
109573,5293,Poblacion II
109574,5293,Poblacion III
109575,5293,Saimsim
109576,5293,Sampa
109577,5293,Sinipian
109578,5293,Tambo Ibaba
109579,5293,Tambo Ilaya
109580,5233,Barangay I
109581,5233,Barangay II
109582,5233,Barangay III
109583,5233,Barangay IV
109584,5233,San Agustin
109585,5233,San Antonio
109586,5233,San Bartolome
109587,5233,San Felix
109588,5233,San Fernando
109589,5233,San Francisco
109590,5233,San Isidro Norte
109591,5233,San Isidro Sur
109592,5233,San Joaquin
109593,5233,San Jose
109594,5233,San Juan
109595,5233,San Luis
109596,5233,San Miguel
109597,5233,San Pablo
109598,5233,San Pedro
109599,5233,San Rafael
109600,5233,San Roque
109601,5233,San Vicente
109602,5233,Santa Ana
109603,5233,Santa Anastacia
109604,5233,Santa Clara
109605,5233,Santa Cruz
109606,5233,Santa Elena
109607,5233,Santa Maria
109608,5233,Santa Teresita
109609,5233,Santiago
109610,5868,Santissimo Rosario Poblacion
109611,5731,Almaria
109612,5731,Bacong
109613,5731,Badiang
109614,5731,Buenasuerte
109615,5731,Candabong
109616,5731,Casica
109617,5731,Katipunan
109618,5731,Linawan
109619,5731,Lundag
109620,5731,Poblacion
109621,5731,Santa Cruz
109622,5731,Suba
109623,5731,Talisay
109624,5731,Tanod
109625,5731,Tawid
109626,5731,Virgen
109627,5410,Anonang
109628,5410,Asinan
109629,5410,Bago
109630,5410,Baluarte
109631,5410,Bantuan
109632,5410,Bato
109633,5410,Bonotbonot
109634,5410,Bugaong
109635,5410,Cambuhat
109636,5410,Cambus-oc
109637,5410,Cangawa
109638,5410,Cantomugcad
109639,5410,Cantores
109640,5410,Cantuba
109641,5410,Catigbian
109642,5410,Cawag
109643,5410,Cruz
109644,5410,Dait
109645,5410,Eastern Cabul-an
109646,5410,Hunan
109647,5410,Lapacan Norte
109648,5410,Lapacan Sur
109649,5410,Lubang
109650,5410,Lusong
109651,5410,Magkaya
109652,5410,Merryland
109653,5410,Nueva Granada
109654,5410,Nueva Montana
109655,5410,Overland
109656,5410,Panghagban
109657,5410,Poblacion
109658,5410,Puting Bato
109659,5410,Rufo Hill
109660,5410,Sweetland
109661,5410,Western Cabul-an
109662,6222,Alegria
109663,6222,Bicao
109664,6222,Buenavista
109665,6222,Buenos Aires
109666,6222,Calatrava
