3_indtry,source_pdf,detected_category
"manufacturing 
sub-sectors",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
recorded an accumulated 5.2,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
MTOE of energy utilization or,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"4.5  percent  higher 
than 
its",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"0.6 MTOE 9.1%
0.6 MTOE 7.7%",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
2023  level  of  5.0  MTOE.  This,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"0.6 MTOE 8.2%
0.6 MTOE 8%",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"was  due 
to  higher  energy",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"2024=7.3 MTOE
2023=7.1 MTOE
use  reported  in  cement  (30.7",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"Mining
Construction",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"percent), 
food 
processing",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"Manufacturing: Other Industry
Manufacturing: Energy Intensive",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
(0.9 percent) and machinery/,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"Figure 7: Industry Energy Demand Mix, by Sub-sector: 2023 vs 2024
equipment (1.4 percent).",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
Despite  the  5.3  percent  hike  in  approved  permits  for  residential  and  commercial,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"buildings11,  energy  use 
in  construction  declined  by  12.8  percent  due  to  double-",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
digit  reduction  in  diesel  utilization.  Ths  implied  reduced  reliance  on  diesel-powered,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"equipment,  and  a  shift  to  electric-powered  and  fuel-efficient  machinery,  as  well  as",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
other alternative construction technologies.,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"On the other hand, despite the sluggish performance of the mining sub-sector, energy",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
consumption went up by 5.2 percent to 596.3 kTOE in 2024 from its year-ago level of,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
566.8  kTOE.  This  is  attributed  to  sustained  energy  use  in  extraction  and  processing,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
requirements to address operational challenges such as adverse weather conditions,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
and logistical issues.,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
Electricity  accounted  for  the  largest  share  in  the  sector’s  aggregate  energy  demand,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
mix  at  36.8  percent.  Its  aggregate  consumption  went  up  by  5.4  percent  to  2.7  MTOE,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"in  2024  (Figure  8) 
from  2.5  MTOE 
in 
the  previous  year  due 
to 
its  extensive  use",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
across  production  activities  and  processes.  Lower  coal  prices  contributed  to  the  8.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"percent  rise 
in  coal  consumption  during  the  year,  as 
levels  reached  2.1  MTOE  from",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
"2.0  MTOE  in  2023.  Coal  contributed  29.6  percent  share  to  industry’s  energy  demand,",2024_philippine_energy_situationer_and_key_energy_statistics_table_185_p12.csv,general
